name,access_zone,population_est,geometry
Kattikkulam,Beyond 30 min (Underserved),2243.79248046875,POINT (76.0630926 11.8474605)
Ammaani,Beyond 30 min (Underserved),1626.8677978515625,POINT (76.0648786 11.8442378)
Thazhe Ammaani,Beyond 30 min (Underserved),779.3792724609375,POINT (76.0685794 11.8423357)
Tholpetty,Beyond 30 min (Underserved),505.14166259765625,POINT (76.0615339 11.9453756)
Anaappara,Beyond 30 min (Underserved),350.70648193359375,POINT (76.0368747 11.8464372)
Puzhavayal,Beyond 30 min (Underserved),326.1270751953125,POINT (76.0552513 11.8521708)
Thrissilery,Beyond 30 min (Underserved),301.5491943359375,POINT (76.0439966 11.8561401)
Thirunelli,Beyond 30 min (Underserved),295.0890808105469,POINT (75.994875 11.9098981)
Appapara,Beyond 30 min (Underserved),149.18106079101562,POINT (76.0330133 11.9051947)
Thettu Road,Beyond 30 min (Underserved),102.70518493652344,POINT (76.0666436 11.9027971)
Choladi,Beyond 30 min (Underserved),0.0,POINT (76.2469218 11.5280995)
